,datetime,message,negativity,neutrality,positivity,compound,city,oblast
25,"04:06 PM, 01 Jan 2023","Russian occupants announced the termination of hryvnia circulation in the occupied territories of Ukraine. ""Since January 1, the only currency in the ""new regions of Russia"" is the ruble,"" the invaders claim. **Anticipating the approaching military defeat, the occupier intensifies measures to accelerate the ""integration"" of the occupied territories of Ukraine into the Russian Federation. 👉 Subscribe to ZN.UA",0.05,0.95,0.0,-0.4588,n/a,n/a
26,"04:06 PM, 01 Jan 2023","From today, the UK will stop importing liquefied natural gas from Russia - Foreign Ministry. ""From January 1, 2023, the UK will stop all imports of Russian liquefied natural gas and support countries around the world in reducing their own dependence (on Russian gas - ed.),"" the ministry said. The decision was made in response to the Russian invasion of Ukraine to deprive Russia of money to continue the arrest. According to Bloomberg, Russian LNG will replace supplies from American producers. 👉 Subscribe to ZN.UA",0.107,0.81,0.083,-0.296,n/a,n/a
27,"04:08 PM, 01 Jan 2023","In Snigirevka recently gave light - Nikolayevoblenergo The reason for the lack of electricity was a fallen tree, which severed the wires. The light in Snegirevka disappeared on December 31 at 5:00 p.m.",0.254,0.746,0.0,-0.802,n/a,n/a
28,"04:08 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
29,"04:09 PM, 01 Jan 2023","Forwarded from SOCIAL NEWS As of today, the United Kingdom has completely stopped imports of Russian liquefied natural gas. ""We are cutting off Putin from funding his illegal war,"" the Foreign Office said.",0.18,0.69,0.131,-0.2484,n/a,n/a
30,"04:11 PM, 01 Jan 2023",⚡️ The parcel truck sends 🎁 to the occupiers https://t.me/operativnoZSU,0.0,1.0,0.0,0.0,n/a,n/a
31,"04:11 PM, 01 Jan 2023",A nightclub on the water sank in Belgorod during the New Year celebrations😁 https://t.me/operativnoZSU,0.0,1.0,0.0,0.0,n/a,n/a
32,"04:16 PM, 01 Jan 2023",Six prisoners from the Wagner PMC escaped in the Rostov region The mock warriors were carrying weapons and the police were looking for them. 🇺🇦 Ukraine Now,0.273,0.727,0.0,-0.8402,n/a,n/a
33,"04:21 PM, 01 Jan 2023","On December 31, Russians launched missiles from the Caspian Sea for the first time Probably, it is already more difficult for them to deliver supplies to the Black Sea coast. This suggests that keeping logistics on the left bank under fire control, including us, is quite successful, - said the head of the Joint Press Center of the Defense Forces of the South of Ukraine Natalia Humeniuk.",0.071,0.832,0.097,0.2263,n/a,n/a
34,"04:23 PM, 01 Jan 2023","The use, rare in the Ukrainian army, of the Msta-S SAU. This particular machine was received under the Russian lend-lease program.",0.0,1.0,0.0,0.0,n/a,n/a
35,"04:26 PM, 01 Jan 2023",💥 Reports of explosions in temporarily occupied Melitopol and the defeat of enemy positions. We await official information. 🇺🇦 Ukraine Now,0.261,0.683,0.056,-0.7269,Melitopol,Zaporizhzhia
36,"04:26 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
37,"04:26 PM, 01 Jan 2023","🇺🇦 In 2022, 1,596 Ukrainians were returned from Russian captivity - Ministry of Reintegration of TOT. 1,464 servicemen and 132 civilians returned home. **About 3,400 defenders of Ukraine remain in Russian captivity. According to Ukrainian officials and journalists, there are about 2,900 Russians in captivity. 👉 Subscribe to ZN.UA",0.0,0.973,0.027,0.0772,n/a,n/a
38,"04:26 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
39,"04:30 PM, 01 Jan 2023","🇫🇷🇺🇦 ""We will be by your side, we will help you to victory, we will be together to build a just and lasting peace. Count on France and Europe."" - French President Emmanuel Macron. https://t.me/operativnoZSU",0.0,0.833,0.167,0.7351,n/a,n/a
40,"04:33 PM, 01 Jan 2023",Massive shelling of the centers of major cities of Ukraine on the night of December 31 to January 1 indicates another change in the type of war - Podoliak Russia no longer has any military goals. It is trying to kill as many civilians and destroy as many civilian objects as possible. War for the sake of killing... - said the adviser to the head of the Presidential Office Mykhailo Podoliak.,0.224,0.776,0.0,-0.9595,n/a,n/a
41,"04:37 PM, 01 Jan 2023","Today, January 1, a new temperature record in Kyiv and many other cities of Ukraine During the day, until sunset, according to various weather websites, the temperature in the capital reached 13 or 14 ° C. The previous temperature record of +11.1 °C was recorded in 1991. Odessa also welcomes the new year with +11 degrees Celsius. The weather is springtime, so there is a full house on the beaches. 🇺🇦 Ukraine Now",0.0,0.943,0.057,0.4767,Kyiv,Kyiv
42,"04:40 PM, 01 Jan 2023","""I am an adult uncle, 47 years old. The first three evacuations - I have tears. People come out dirty, hungry. They shout ""Glory to Ukraine"", cry"", - says volunteer Igor. He was one of those who helped to evacuate people from the occupied territories of Kharkiv region through the Pechenizka dam in the summer. Read the volunteers' memories of the evacuation at the YouTube link ""Way of Life"": evacuation from the occupied Kharkiv region 01.01.2023. During the summer, more than 16 thousand people were able to evacuate from the occupation by walking across the Pechenizka dam in the Kharkiv region. This was told to Suspilne by volunteers of the organization ""Helping to Leave"", who, in particular, organized the evacuation. The checkpoint from the occupation to the free territories had been operating for three months. In fact, it was the only way for residents of the temporarily occupied Kharkiv and partially Luhansk regions. Watch how the evacuation took place. Subscribe and press 🔔 to receive notifications about new videos and broadcasts Read Kharkiv news on the website: https://suspilne.media/regions/kharkiv-region/ On Facebook: https://www.facebook.com/suspilne.kharkiv On Instagram: https://www.instagram.com/suspilne.kharkiv/ On Telegram: https://t.me/suspilnekharkiv Viber: http://bit.ly/suspilnekharkivviber Audience engagement policy on UA:PBC digital platforms: https://corp.suspilne.media/document/533 --- Branch website: https://kh.suspilne.media/ Read everything about UA:PBC here: https://corp.suspilne.media/",0.022,0.921,0.056,0.802,Kharkiv,Kharkiv
43,"04:43 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
44,"04:43 PM, 01 Jan 2023","German company Kraus-Maffei Wegmann has started production of self-propelled artillery systems RCH-155 for the Ukrainian army. This was stated by the company's advisor Nicholas Drummond. It is reported that according to the contract for 216 million euros, the Armed Forces should receive 18 such guns on a wheeled chassis. But do not expect a quick receipt of new German equipment. It is expected that the delivery of RCH-155 will be ready no earlier than 30 months after the conclusion of the contract - that is, in 2025.",0.032,0.931,0.037,0.1154,n/a,n/a
45,"04:43 PM, 01 Jan 2023","NATO Secretary General Jens Stoltenberg urged the West to prepare for a long war of Russia in Ukraine. ""We must be prepared for a long road, because, as you have noticed, Russia does not intend to give up its main goal - to establish control over Ukraine,"" he said. According to him, the successes of the Ukrainian army should not create a perhaps misleading impression of Kyiv's quick victory. He stressed that Ukraine is in dire need of the West's military support, as Russia has replenished the ranks of the military and is preparing to continue the war. ""If we want the peace treaty to enshrine the provision that Ukraine has won as a sovereign, independent, democratic European state, we must provide Ukraine with support. Including military support, because this is the only way to convince Russia to come to the negotiating table and recognize Ukraine as a sovereign, independent European state,"" Stoltenberg said. @babel",0.085,0.755,0.16,0.8819,n/a,n/a
46,"04:45 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
47,"04:45 PM, 01 Jan 2023","⚡️A Russian BMP and crew destroyed in Luhansk Region For ""New Year's salute,"" the border guards involved artillerymen from one of the mechanized brigades. ""Bekha"" destroyed together with the crew 👊🏼",0.181,0.819,0.0,-0.7506,Luhansk,Luhansk
48,"04:45 PM, 01 Jan 2023","😡The occupants of Luhansk Region have intensified forced passportization It is now possible to travel outside the region only with a Russian passport or ""LDNR passports"". On January 1, they introduced a special entry regime at the Valuiki and Rovenki checkpoints. ""So, the pass through the administrative border is now carried out only with an identity document. Namely, a Russian passport, the so-called ""LNR"" and ""DnR"", for children - a birth certificate"", - reports the Luhansk OVA.",0.04,0.924,0.036,-0.0772,Luhansk,Luhansk
49,"04:46 PM, 01 Jan 2023","Patriarch Kirill of the Russian Orthodox Church declared Russia the ""savior of the world. ""At one time it was russia that saved the world from the terrible plague of fascism. Maybe today God is calling us to help the world find salvation through our faith as well,"" Kirill said. **""Pride is hateful to both God and men, and a crime against both. 👉 Subscribe to ZN.UA",0.125,0.715,0.16,0.1779,n/a,n/a
50,"04:49 PM, 01 Jan 2023",🕯 Sad news from the front. Moyak Marian from Boryslav died. He was only 24 years old. He defended Ukraine in the Kharkiv direction. The guy's life ended there... The defender will be buried in the city cemetery on the Alley of Glory in the village of Popeli. Eternal memory and glory! 🇺🇦 Lviv 24/7,0.104,0.761,0.135,0.2481,Lviv,Dnipro-petrovsk
51,"04:49 PM, 01 Jan 2023","Tonight, a resident of the capital did not decide that the nerves of thousands of people were not worth not enjoying the fireworks. Today, the man's hangover was spoiled by the police. It seems that no fireworks were heard in Lviv. 🇺🇦 Lviv 24/7",0.113,0.837,0.05,-0.2386,Lviv,Dnipro-petrovsk
52,"04:49 PM, 01 Jan 2023","Stepan Bandera was commemorated in Lviv Dozens of people gathered near the monument on Kropyvnytsky Square. Today marks 114 years since the birth of the politician, patriot, practitioner and theorist of the Ukrainian nationalist movement, whose figure still frightens our enemies. ""An independent state can be gained by the Ukrainian people only by their own struggle and labor"". 🇺🇦 Lviv 24/7",0.121,0.841,0.038,-0.6808,Lviv,Dnipro-petrovsk
53,"04:49 PM, 01 Jan 2023","Lviv region is in the list of the least ""alarming"" regions From February 24 to December 31, 2022, we had 254 air raid alarms. For example, in Kyiv, air danger was reported 638 times, in Dnipropetrovska oblast - 1190 times, and in Kharkivska oblast - 1558 times. 🇺🇦 Lviv 24/7",0.107,0.893,0.0,-0.6705,Lviv,Dnipro-petrovsk
54,"04:50 PM, 01 Jan 2023","This is how the work to destroy the ""shahid"" in the sky over Kyiv region from one foreign anti-aircraft gun looks like 🔥 send news @novosti_kieva_bot 👉SUBSCRIBE",0.188,0.732,0.08,-0.5267,Kyiv,Kyiv
55,"04:50 PM, 01 Jan 2023","From today, access to 2 churches of the Upper Lavra - the Assumption Cathedral (the main church of the Kyiv Cave Monastery) and the Refectory Church - is closed for the UOC-MP Moreover, today no one is allowed there at all. At the entrance to the territory of the Kyiv Cave Monastery National Reserve, there is a sign that the reserve is closed until 02.01.2023. The abbot of the Kyiv Cave Monastery, Metropolitan Pavel, said that today representatives of the UOC do not have access to the churches of the Upper Lavra. send news👉@novosti_kieva_bot 👉FOLLOW",0.024,0.976,0.0,-0.296,Kyiv,Kyiv
56,"04:50 PM, 01 Jan 2023","What has changed since January 1? The main change - the victory of Ukraine - will definitely come this year, but a little later. And starting from today, Ukrainians are waiting for such changes: 🤶 To retire at the age of 60, you now need to have at least 30 years of insurance experience. 👩🍼Social benefits for some categories will be automatically extended. 🧑💻Taxes for individual entrepreneurs will increase: Group 1 will pay 286 hryvnias of the single tax, and Group 2 - 1340 hryvnias. The single social contribution for all will be UAH 1474. 💻Financial statements will need to be submitted only in electronic form. 🚜Peasants and farmers will now have to pay a minimum tax liability (MTL) for their share. The NBU is starting to withdraw old generation paper banknotes of 5, 10, 20 and 100 hryvnia denominations from circulation. They will be replaced by 5 and 10 hryvnia coins and 20 and 100 hryvnia banknotes of the new generation. 💌 Ukrposhta reduces the tariff for shipments to Poland, and Nova Poshta has changed the cost of delivery in Ukraine. send news @novosti_kieva_bot 👉SUBSCRIBE",0.029,0.912,0.059,0.765,n/a,n/a
57,"04:50 PM, 01 Jan 2023",Infographic: number of air raid alerts for the whole year 2022 There were 500 air raids in Kyiv region and 638 air raids in Kyiv. send news @novosti_kieva_bot 👉SUBSCRIBE,0.0,0.956,0.044,0.0772,Kyiv,Kyiv
58,"04:51 PM, 01 Jan 2023",Krasnodar. Freshly dug in⚰️🪦 https://t.me/operativnoZSU,0.0,1.0,0.0,0.0,n/a,n/a
59,"04:54 PM, 01 Jan 2023","Despite significant losses, Russian occupants continue to attempt offensive actions in the Bakhmut sector The enemy, who lost 760 people killed yesterday alone, continues to attempt offensive actions in the Bakhmut sector and is trying to improve the tactical position of its troops in the Kupiansk, Lyman and Avdiivka sectors. The enemy is defending itself in the Novopavlivka and Zaporizhzhya sectors, and regrouping troops in the Kherson sector, the General Staff informed.",0.258,0.685,0.057,-0.9534,Kherson,Kherson
60,"04:56 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
61,"04:56 PM, 01 Jan 2023","Russia has not abandoned its attempts to seize Ukraine and may be preparing for a new offensive - NATO Secretary General Jens Stoltenberg. ""Russia does not intend to abandon its main goal - to establish control over Ukraine. We know that Russia has mobilized and replenished the ranks of the military, many of those mobilized are now undergoing training. All this indicates preparations for the continuation of the war and a possible attempt of a new offensive,"" Stoltenberg said. According to the NATO Secretary General, the West should prepare for a prolonged Russian-Ukrainian war. 👉 Subscribe to ZN.UA",0.106,0.846,0.048,-0.7854,n/a,n/a
62,"05:00 PM, 01 Jan 2023","The invaders tried to spoil New Year's Eve for the inhabitants of the capital - the main thing from the summary of the General Staff on the evening of January 1: ▪️In the course of the day, the enemy carried out 35 air strikes, in particular, it used a Shaked-136 UAV, all of which were shot down by Ukrainian Defense Forces units. The Russian occupants also fired 16 rocket launchers, in particular at the children's hospital in Kherson. ▪ The enemy, who only yesterday lost 760 men killed, continues to attempt offensives at Bakhmutskoye and tries to improve the tactical position of its units in the Kupiansk, Limansk and Avdeevskoye directions. ❗️ Mobilization activities are taking place in temporarily occupied Ukrainian Crimea. Military commissariats have begun checking the lists of persons who have not yet participated in the large-scale invasion of Ukraine and are subject to conscription under mobilization in 2023. ▪️Ukrainian aviation conducted 13 strikes on the invading areas, and our missile and artillery units struck two areas of concentration of enemy manpower and military equipment. 🇺🇦 Ukraine Now",0.149,0.829,0.022,-0.9758,n/a,n/a
63,"05:00 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
64,"05:01 PM, 01 Jan 2023",Our soldiers continue to send New Year's greetings to the occupiers!!!! https://t.me/operativnoZSU,0.0,0.735,0.265,0.6083,n/a,n/a
65,"05:02 PM, 01 Jan 2023",Ukrainian family in Kherson broadcasts video address of President to relatives in temporarily occupied territories There people are fed only Katsap shit on TV. 🇺🇦Real War,0.238,0.762,0.0,-0.8176,Kherson,Kherson
66,"05:02 PM, 01 Jan 2023","""If you survive, you will be an interpreter"": Wagnerians showed an African prisoner fighting in Donbas 🇺🇦Real War",0.398,0.602,0.0,-0.872,n/a,n/a
67,"05:07 PM, 01 Jan 2023",In Mariupol now who has a machine gun in the trunk is in the right Donetsk propagandist frightened by militants,0.238,0.762,0.0,-0.6486,Donetsk,Donetsk
68,"05:08 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
69,"05:08 PM, 01 Jan 2023",Kim says no power outages today send news @niko9_bot 👉,0.216,0.784,0.0,-0.296,n/a,n/a
70,"05:10 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
71,"05:10 PM, 01 Jan 2023","🎄 #ЦПД_illustrates: ‼ Back in 2020, Ukrainians identified Vladimir Putin as the politician who best suits the role of the New Year's anti-hero - ""Mr. Grinch"". And although Putin has never managed to steal Christmas like Mr. Grinch did, he has stolen something no less valuable from people! ❓ What exactly and when did Putin-Grinch steal - read in the infographic of the Center for Countering Disinformation. #stoprussia TG | FB | INST | YT | TW | TT",0.065,0.752,0.183,0.8643,n/a,n/a
72,"05:12 PM, 01 Jan 2023","⭐️The Hubble Space Telescope has photographed the spiral galaxy NGC 6956, located 214 million light years from Earth. This is a galaxy with ""jumpers"", which got this name because of a prominent band of stars crossing the galactic core. Such galaxies are among the most common in the known Universe - about 70% of them. @babel",0.0,0.958,0.042,0.3182,n/a,n/a
73,"05:15 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
74,"05:15 PM, 01 Jan 2023","⚡️Military serviceman ""Witch"" about the situation in Bakhmut today The city is hanging on. The occupants lack the strength and means to conduct an offensive.",0.174,0.721,0.105,-0.2732,Bakhmut,Donetsk
75,"05:21 PM, 01 Jan 2023","Romanian villagers staged a parade of ""captured Z vehicles"" and ""hanged Putin"" in the village. In Romania, there is a rural tradition to end the year with a parade of monsters, this time it looked a little different. @InformNapalm",0.0,1.0,0.0,0.0,n/a,n/a
76,"05:24 PM, 01 Jan 2023","""I am an adult uncle, 47 years old. The first three evacuations - I have tears. People come out dirty, hungry. They shout ""Glory to Ukraine"", cry"", - says volunteer Igor. He was one of those who helped to evacuate people from the occupied territories of Kharkiv region through the Pechenizka dam in the summer. Read the volunteers' memories of the evacuation at the YouTube link ""Way of Life"": evacuation from the occupied Kharkiv region 01.01.2023. During the summer, more than 16 thousand people were able to evacuate from the occupation by walking across the Pechenizka dam in the Kharkiv region. This was told to Suspilne by volunteers of the organization ""Helping to Leave"", who, in particular, organized the evacuation. The checkpoint from the occupation to the free territories had been operating for three months. In fact, it was the only way for residents of the temporarily occupied Kharkiv and partially Luhansk regions. Watch how the evacuation took place. Subscribe and press 🔔 to receive notifications about new videos and broadcasts Read Kharkiv news on the website: https://suspilne.media/regions/kharkiv-region/ On Facebook: https://www.facebook.com/suspilne.kharkiv On Instagram: https://www.instagram.com/suspilne.kharkiv/ On Telegram: https://t.me/suspilnekharkiv Viber: http://bit.ly/suspilnekharkivviber Audience engagement policy on UA:PBC digital platforms: https://corp.suspilne.media/document/533 --- Branch website: https://kh.suspilne.media/ Read everything about UA:PBC here: https://corp.suspilne.media/",0.022,0.921,0.056,0.802,Kharkiv,Kharkiv
77,"05:24 PM, 01 Jan 2023","Forwarded from SOCIAL NEWS As of today, the United Kingdom has completely stopped imports of Russian liquefied natural gas. ""We are cutting off Putin from funding his illegal war,"" the Foreign Office said.",0.18,0.69,0.131,-0.2484,n/a,n/a
78,"05:29 PM, 01 Jan 2023","Tensions between Ukraine and Hungary could undermine EU efforts to counter Russia - Financial Times. ""Mutual trust between Hungary and Ukraine is at an all-time low. Ties between the EU and Hungary are also in a terrible state. The main disagreements remain unchanged and this issue will come to light again in the spring. "", - the experts interviewed by journalists emphasize. They note that trust in Ukraine among Hungarians is low, Ukrainians reciprocate Hungary. The government of Viktor Orban takes a consistent ""anti-Ukrainian position"", blocking the European integration aspirations of Ukraine. According to experts, Hungary is ill-prepared for a complete severance of ties with Russia. Budapest expected to ""wait it out"", hoping that the February invasion would follow the ""Crimean scenario"", but everything went ""not according to plan"". 👉 Subscribe to ZN.UA",0.091,0.863,0.046,-0.4767,n/a,n/a
79,"05:40 PM, 01 Jan 2023","The recipe for Ukraine's economic miracle. Already now we need to think about what the economy of Ukraine will be like after the victory. We visualized the main ""ingredients"" from which you can ""cook"" an economically successful Ukraine. 🔗 Subscribe to the channel 👉 Support us on the Patreon",0.0,0.771,0.229,0.9153,n/a,n/a
80,"05:41 PM, 01 Jan 2023","Forwarded from Uchoose.info Who is the first to wish Ukrainians a Happy New Year? Stepan Bandera is a name that is shrouded in legends, lies, propaganda and a strong layer of stereotypes, both among his opponents and supporters. A beast, executioner, murderer and terrorist in the propaganda of the occupation regimes that operated on the territory of Ukraine. And at the same time - a liberator, an ideal to follow, a patriot, a sensitive, religious and true Ukrainian for millions of his supporters and followers who celebrate his birthday on January 1. But who, in fact, was Stepan Bandera? What did he dream about, how did he live, what did he strive for and what did he sacrifice to achieve his goals? https://uchoose.info/bandera-toj-hto-pershym-vitaye-ukrayintsiv-z-novym-rokom/ UBandera. The one who is the first to congratulate Ukrainians on the New Year In this article, of course, we will not be able to describe the whole essence and activities of this outstanding person, but we can try, perhaps for the first time, to change the optics of stereotypes and look at the OUN leader from a somewhat ""human"" point of view. That is, what exactly was Bandera as a physical person, and not as a myth of enemy propaganda and Ukrainian patriotic narrative.",0.078,0.787,0.135,0.9164,n/a,n/a
81,"05:43 PM, 01 Jan 2023","#HURVITATES Greetings of the Chief of the Defence Intelligence of Ukraine on the occasion of New Year and Christmas Dear colleagues! Sworn brothers! I sincerely congratulate you on New Year and Merry Christmas! These winter holidays are full of family warmth and comfort. They unite us all and warm our hearts with special spiritual joy. Unfortunately, today we have to meet them on combat posts, in trenches, dugouts, in the enemy's rear. Despite massive missile attacks, enemy shelling and energy terror, we are confident in the future. Thanks to the skill, strength, resilience and courage of our fighters on the battlefield, unwavering support of our partners and diplomacy, we will stand and defend our state, regain and return all our territories! I wish you and your families good health, happiness, prosperity and new achievements and victories in the name of our native independent Ukraine. Merry New Year and Merry Christmas! Chief of the Defence Intelligence of Ukraine of the Defence Ministry of Ukraine Major General Kyrylo BUDANOV",0.069,0.58,0.351,0.9957,n/a,n/a
